product_id,product_name,category,subcategory,brand,regular_price,cost_price
P0001,Terra Tablet,Electronics,Tablet,Terra,1041.63,664.86
P0002,Nova Vacuum,Home,Vacuum,Nova,341.91,224.12
P0003,Pulse Haircare,Beauty,Haircare,Pulse,104.58,57.53
P0004,Vertex Laptop,Electronics,Laptop,Vertex,801.13,538.48
P0005,Orion Bedding,Home,Bedding,Orion,202.12,94.44
P0006,Luma Hoodie,Apparel,Hoodie,Luma,118.12,77.33
P0007,Nova Makeup,Beauty,Makeup,Nova,197.56,130.42
P0008,Apex Frozen,Grocery,Frozen,Apex,19.74,9.12
P0009,Terra Cookware,Home,Cookware,Terra,265.26,188.66
P0010,Zenith Makeup,Beauty,Makeup,Zenith,87.8,50.64
P0011,Orion Skincare,Beauty,Skincare,Orion,109.9,56.19
P0012,Terra TV,Electronics,TV,Terra,569.61,384.39
P0013,Nova Fragrance,Beauty,Fragrance,Nova,184.77,123.29
P0014,Orion Hoodie,Apparel,Hoodie,Orion,60.44,38.34
P0015,Luma Skincare,Beauty,Skincare,Luma,11.55,7.65
P0016,Terra Tablet,Electronics,Tablet,Terra,869.79,574.75
P0017,Pulse Bedding,Home,Bedding,Pulse,64.41,30.98
P0018,Terra Bedding,Home,Bedding,Terra,174.4,105.1
P0019,Pulse Tablet,Electronics,Tablet,Pulse,700.01,420.7
P0020,Zenith Haircare,Beauty,Haircare,Zenith,16.47,9.35
P0021,Zenith Snacks,Grocery,Snacks,Zenith,34.43,17.67
P0022,Nova Storage,Home,Storage,Nova,111.42,58.97
P0023,Apex Lamp,Home,Lamp,Apex,278.25,175.12
P0024,Orion Bedding,Home,Bedding,Orion,288.25,142.71
P0025,Nova T-Shirt,Apparel,T-Shirt,Nova,133.36,76.64
P0026,Apex Tablet,Electronics,Tablet,Apex,641.17,314.89
P0027,Orion Storage,Home,Storage,Orion,144.5,76.79
P0028,Terra Storage,Home,Storage,Terra,138.12,65.42
P0029,Zenith T-Shirt,Apparel,T-Shirt,Zenith,164.64,105.19
P0030,Zenith Beverages,Grocery,Beverages,Zenith,38.83,25.64
P0031,Luma Dress,Apparel,Dress,Luma,57.74,27.49
P0032,Vertex Bedding,Home,Bedding,Vertex,169.32,85.45
P0033,Luma Makeup,Beauty,Makeup,Luma,47.12,32.1
P0034,Luma Cookware,Home,Cookware,Luma,256.86,145.55
P0035,Apex Shoes,Apparel,Shoes,Apex,121.17,57.29
P0036,Orion Storage,Home,Storage,Orion,31.82,18.56
P0037,Terra Laptop,Electronics,Laptop,Terra,195.81,119.18
P0038,Apex Tablet,Electronics,Tablet,Apex,1116.13,677.36
P0039,Pulse Bedding,Home,Bedding,Pulse,25.57,18.12
P0040,Orion Bedding,Home,Bedding,Orion,277.87,131.25
